Time (s),PID Joint 0 Angle (rad),SNN Joint 0 Angle (rad),PID Joint 0 Velocity (rad/s),SNN Joint 0 Velocity (rad/s)
6.42,0.7797723987140086,0.7778940027894075,-0.028019463053838872,-0.03174145145000651
6.43,0.7796556509512843,0.7777617467416991,-0.02718211197449151,-0.03174145145000651
6.44,0.7795423921513905,0.7776294906939907,-0.026346262491810782,-0.028855864954550725
6.45,0.7794326160576747,0.7775092579233467,-0.02551218271529354,-0.028855864954550725
6.46,0.779326315296361,0.7773890251527027,-0.024680136670368093,-0.028855864954550725
6.47,0.7792234813935678,0.7772687923820587,-0.023850384260529774,-0.025970278459094942
6.48,0.7791241047924823,0.7771605828884791,-0.0230231812313475,-0.025970278459094942
6.49,0.779028174870685,0.7770523733948995,-0.02219877913634126,-0.025970278459094942
6.5,0.7789356799576169,0.7769441639013199,-0.021377425304814665,-0.02308469196363916
6.51,0.7788466073521801,0.7768479776848047,-0.020559362811464157,-0.02308469196363916
6.5200000000000005,0.7787609433404657,0.7767517914682895,-0.019744830447956288,-0.02308469196363916
6.53,0.7786786732135993,0.7766556052517744,-0.018934062696218945,-0.02308469196363916
6.54,0.7785997812856984,0.7765594190352592,-0.018127289703693844,-0.020199105468183376
6.55,0.778524250911933,0.7764752560958084,-0.017324737260296805,-0.020199105468183376
6.5600000000000005,0.7784520645066818,0.7763910931563576,-0.01652662677723829,-0.020199105468183376
6.57,0.7783832035617766,0.7763069302169068,-0.015733175267575672,-0.017313518972731146
6.58,0.7783176486648283,0.7762347905545204,-0.014944595328605328,-0.017313518972731146
6.59,0.7782553795176258,0.776162650892134,-0.014161095125900053,-0.017313518972731146
6.6000000000000005,0.7781963749546013,0.7760905112297476,-0.013382878379172639,-0.014427932477275363
6.61,0.7781406129613547,0.7760303948444256,-0.012610144349789645,-0.014427932477275363
6.62,0.7780880706932306,0.7759702784591036,-0.011843087830022685,0.14139373827730495
6.63,0.7780387244939388,0.776559419035259,-0.01108189913394602,-0.0028855864954522303
6.640000000000001,0.7779925499142141,0.7765473957581946,-0.010326764090003548,0.0
6.65,0.7779495217305057,0.7765473957581946,-0.00957786403522265,0.0
6.66,0.7779096139636923,0.7765473957581946,-0.008835375811046119,-0.15293608425912453
6.67,0.7778727998978129,0.7759101620737816,-0.008099471760734146,-0.008656759486363796
6.68,0.7778390520988098,0.7758740922425884,-0.0073703197284233565,-0.008656759486363796
6.69,0.7778083424332747,0.7758380224113952,-0.006648083059650672,-0.005771172990908013
6.7,0.7777806420871928,0.7758139758572664,-0.0059329206034772,0.1500504977636723
6.71,0.7777559215846783,0.776439186264615,-0.0052249867161436175,0.005771172990911566
6.72,0.7777341508066944,0.7764632328187439,-0.004524431266154531,0.00865675948636735
6.73,0.7777152990097521,0.776499302649937,-0.0038313996409341453,0.00865675948636735
6.74,0.7776993348445815,0.7765353724811302,-0.0031460327548426675,-0.14427932477275718
6.75,0.7776862263747697,0.7759342086279104,-0.0024684670587173524,0.0
6.76,0.7776759410953584,0.7759342086279104,-0.0017988345507445672,0.0
6.7700000000000005,0.777668445951397,0.7759342086279104,-0.0011372627887735326,0.0
6.78,0.7776637073564437,0.7759342086279104,-0.0004838749040123706,0.1587072572500361
